Id,text
0,RT @itsJeffTiedrich: @realDonaldTrump imagine a Republican incumbent having to waste time and resources in deeply-red Georgia two weeks bef…
1,@realDonaldTrump https://t.co/qsPFJUGc6d
2,@realDonaldTrump What the hell are you talking about sir?
3,"@realDonaldTrump @cspan Joe Biden’s town hall-style forum on Thursday night had 15.1 million viewers, while Preside… https://t.co/i1ztLfGHcB"
4,"@realDonaldTrump only follows 50 people on Twitter and they are all of the same mindset or his staff, with very lit… https://t.co/I7rnQHimWz"
5,@realDonaldTrump Is running out of Rednecks.  That’s the tweet.  #AdiosMF
6,@realDonaldTrump You have packing to do!!!! Cannot wait until you are out!!!
7,@realDonaldTrump @POTUS 45 lies again! 45 &amp; his sorry ass Republican supporters in their seats they hold give 2 shi… https://t.co/fiEve2joxM
8,RT @officialjtw: @realDonaldTrump first vote ever since becoming a US citizen in 2017. I will be voting for TRUMP!
9,@realDonaldTrump https://t.co/Vf7IAllarV
10,@realDonaldTrump Vote for the better man: vote for Joe Biden #VoteBidenHarris #VoteBidenHarris #VoteThemAllOut… https://t.co/Jt9aEEBy0D
11,RT @DanielleCandela: @realDonaldTrump @TheBabylonBee I really don't care about Hillary's emails or Hunter's laptop or SQUIRREL! they want t…
12,"RT @Cleavon_MD: @realDonaldTrump 24 y.o. Davon Hill died from #COVID in #Florida. His father, a state-trooper was a nonbeliever until he go…"
13,@realDonaldTrump #DodgyDonald  Covid-19 super spreader
14,RT @prayerfeathers: @realDonaldTrump We understand that you will be looking for property in Russia. Here are some nice listings to get you…
15,"@realDonaldTrump  Go to Russia! Unfortunately, you're lying again! https://t.co/2fCgDLwYcG"
16,@realDonaldTrump Time to flush the Turd!!! Bye-Bye Donny! 👋 https://t.co/3UoiD60XVC
17,@realDonaldTrump ✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️�
18,@realDonaldTrump @SenatorCollins None of that made any sense... as usual.
19,@realDonaldTrump trash president
20,@realDonaldTrump In your dreams
21,@realDonaldTrump @NBCNews Trump fantasyland.
22,@realDonaldTrump #Prayforgence
23,RT @itsJeffTiedrich: @realDonaldTrump imagine a Republican incumbent having to waste time and resources in deeply-red Georgia two weeks bef…
24,@realDonaldTrump https://t.co/x1F80Jf7Ch
25,RT @itsJeffTiedrich: @realDonaldTrump imagine a Republican incumbent having to waste time and resources in deeply-red Georgia two weeks bef…
26,"RT @judgeyourself99: @realDonaldTrump #BlameTrump  20,000 plus lies  Highest Coronavirus cases worldwide  220,000 dead from #COVID19  Still…"
27,@realDonaldTrump https://t.co/mcMcGWh0O7
28,@realDonaldTrump Just finished watching PETE SOUZA'S tribute to what a REAL PRESIDENT looks like. OBAMA was truly a… https://t.co/iUFG9re0YR
29,@realDonaldTrump Trump doing his best to spread COVID-19 to the ignorant...
30,"@realDonaldTrump @cspan Takes one to know one, lier."
31,"@realDonaldTrump Why not stay there.   Btw, soap &amp; towels are inventoried.  So don’t steal them.   The WH will need… https://t.co/DFiSxmQUff"
32,"@realDonaldTrump @TheBabylonBee You mean this bad news for YOU, you clown: https://t.co/mbC817xzfu"
33,@realDonaldTrump @GStephanopoulos Idiot trump
34,"@realDonaldTrump I don't actually HATE the president, I don't hate anybody. I just thought this would be funny, so… https://t.co/tN8r33fhLK"
35,@realDonaldTrump Was Rick Gaetz there?
36,@realDonaldTrump https://t.co/GAaGEFWpzz
37,"@realDonaldTrump  Libera os vôos aí, namoralzinha! Deixa eu ir logo, já está tdo abrindo normalmente 🙏🏼😔"
38,@realDonaldTrump 🙂
39,@realDonaldTrump Zero tolerate for Hunter Biden please remove every Democrat for big corruption in us history 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
40,@realDonaldTrump You’ve lied from day 1
41,"@realDonaldTrump If he was talking about you,he got it rigjt. You are a super predator!"
42,@realDonaldTrump Stay away!!
43,@realDonaldTrump Fake news https://t.co/erXc3LtLDj
44,RT @scientificrealm: @realDonaldTrump https://t.co/HFMxfiQmi0
45,RT @judgeyourself99: @realDonaldTrump #BlameTrump either trump is saying he’s senile and unfit for office and didn’t know that he retweeted…
46,@realDonaldTrump KKK loves you.
47,"@realDonaldTrump USA is going to hell, vote Biden/Harris—the Dynamic Duo"
48,@realDonaldTrump Poor sleepy Joe... https://t.co/EFrrgL7t8D
49,@realDonaldTrump https://t.co/LMcqutqI6A
50,@realDonaldTrump https://t.co/i0tEU5Td8R
51,@realDonaldTrump LIAR! none of those in that crowd clears 400K /that's where JOE's taxes start. Polls: NPR/Marist:… https://t.co/EqKNjQROpN
52,@realDonaldTrump #EndSARS
53,@realDonaldTrump https://t.co/IWTOoB5IgN
54,RT @scientificrealm: @realDonaldTrump https://t.co/iGq884WO62
55,@realDonaldTrump @TheBabylonBee Lies from the liar-in-chief.
56,@realDonaldTrump Everything. Stay home you superspreader!
57,@realDonaldTrump What’s the big mistake?
58,@realDonaldTrump Keep digging American lol
59,@realDonaldTrump I was there!! Spent 12 hours in line and was within the first 3 rows. I’ll never forget this .. wa… https://t.co/Rb9q3DIHSI
60,RT @AdamZaccaria: @realDonaldTrump Best of luck to you tonight Mr President we love you if ever we needed our president it would be now sta…
61,@realDonaldTrump @MSNBC @CNN @FoxNews @SenateDems @SenateGOP @HouseDemocrats @HouseGOP @BBCWorld @ABC @CBS @nytimes… https://t.co/OcUDsEZYVt
62,@realDonaldTrump Big T’s Farewell Covid Tour
63,"@realDonaldTrump If Joe wins, there won't be as much chaos and fighting/bickering between our countries. Trump isn'… https://t.co/HgRX9oKJnS"
64,@realDonaldTrump #SuperPredator refers to you @POTUS . Everyone knows you hung out with #JefferyEpstein &amp; trafficke… https://t.co/axLclAtZ1q
65,@realDonaldTrump Vote Trump and buy Goya
66,"RT @Cleavon_MD: @realDonaldTrump Charles ""Dan"" Manrique, 71yo Nurse, Marion County Jail, Florida died of #covid19 on 8/8. He’d been a nurse…"
67,@realDonaldTrump  @SenTedCruz  @TheJusticeDept  @RepDevinNunes  @TuckerCarlson  @jsolomonReports  @SGTreport  What… https://t.co/SSj2IcGWxo
68,@realDonaldTrump Nobody is with you RD
69,@realDonaldTrump “I will infect you all!” @realDonaldTrump
70,@realDonaldTrump https://t.co/hfh42ZIn4f
71,@realDonaldTrump You are right about that. More criminal behavior rather than transparent from an office supposedly… https://t.co/IiKCcDWYVY
72,RT @AlkofahiGhaleb: @realDonaldTrump #POTUS Elena Marcus usa 🇺🇸♥️ - https://t.co/WHRwiDlaMk #Elena🌹🥰 @realDonaldTrump @VP  @mike_pence @Iva…
73,RT @murray_nyc: @realDonaldTrump This is one of the most disgusting things Trump has ever tweeted. Who are the other people featured in thi…
74,"RT @Cleavon_MD: @realDonaldTrump Jorge “George” A. Pena, 50, husband, father, sole breadwinner, Lehigh Acres, FL – died of #COVID19 on Augu…"
75,RT @scientificrealm: @realDonaldTrump @NBCNews https://t.co/Lm0KLvQ4UK
76,@realDonaldTrump https://t.co/hfh42ZIn4f
77,"@realDonaldTrump Listen, he may mix somethings up but you flat out make stuff up and then double down on your bulls… https://t.co/DVJTycTXOr"
78,@realDonaldTrump Covidiots
79,@realDonaldTrump I grew up in the 80’s and 90’s and during that tune Trump was just a punchline. As an adult in the… https://t.co/t2cFX87rrG
80,@realDonaldTrump For those of you still on the fence about Trump: - He has called the military losers and suckers -… https://t.co/6lZysbj5pW
81,RT @donwinslow: @realDonaldTrump @CNN @nytimes This is you in your own words. Your hateful words. https://t.co/ypz3vAX8dB
82,@realDonaldTrump So killing more voters better for Biden to win and thank God he will were done with Trump's lies l… https://t.co/MuBmmJ3y8R
83,@realDonaldTrump Nearest Only! if @educationweek unsatisfactory @BetsyDeVosED @chronicle A)106*#AM @Techmoan  B)… https://t.co/aQuCNE07Jt
84,@realDonaldTrump https://t.co/9t7iIXaXiB
85,@realDonaldTrump What polls? Honestly how high are you right now?
86,"@realDonaldTrump @NBCNews You sucked and as usual, you couldn’t directly answer any questions. What a joke you are!… https://t.co/xmY0YRfg1h"
87,@realDonaldTrump Dayum
88,@realDonaldTrump tDrump is a 🤡🤡🤡🤡🤡🤡🤡😱😱🤡🤡🤡🤡🤡🤡🤡🤡
89,"RT @Cleavon_MD: @realDonaldTrump Daniel Fraser, 36yo nurse at Grand Villa Senior Living in St. Petersburg FL died of suspected #covid19. He…"
90,"@realDonaldTrump You lie everywhere. Everyday. All the time. If you’re awake, you’re lying."
91,@realDonaldTrump The world doesn’t care and more half of the US is a amongst that. And can we talk about how you fo… https://t.co/DA1osCFVBk
92,"@realDonaldTrump Oh yes we should not make that mistake. For that reason, I prefer to refer you as “Small D” to avo… https://t.co/BeaVTFrPsn"
93,"@realDonaldTrump is the top of the Republican ticket, but he's talking about leaving the country, which is in effec… https://t.co/HhxeM8uhFh"
94,@realDonaldTrump Lies from the liar-in-chief.
95,@realDonaldTrump اتمنه لك الخير والشفاء من القلب يا قائد النيه الصافيه Traaaaamp mi    taha kriem    amiiiiiiiiiiii… https://t.co/DDe8HGa8Pl
96,RT @KFravahar: @realDonaldTrump fight for freedom - elect #Trump2020
97,@realDonaldTrump https://t.co/6o1NvlsM8M
98,"RT @lizard817: @realDonaldTrump “Florida woman who praised President Donald Trump for being ""handsome"" during Thursday night's NBC town hal…"
99,"RT @Black2thBone: @realDonaldTrump Trump, you call that a crowd? 😂🤣😆   FLASHBACK:  Here's the #4MoreYears crowd that turned out for #Barack…"
100,"RT @danhill2011: @realDonaldTrump @Jamierodr14 Yes, Mr. President, Nancy is holding up the stimulus.  She would rather let millions of Amer…"
101,"@realDonaldTrump this Trump supporter videos have been taken down from YouTube, Vimeo and Facebook https://t.co/gl4xC3KG3n"
102,"RT @Cleavon_MD: @realDonaldTrump Jason Halterman, 43, independent contract driver, beloved son, brother, and friend, Pensacola, FL - passed…"
103,@realDonaldTrump Super spreader events. He will even kill his supporters.
104,@realDonaldTrump @GStephanopoulos https://t.co/2YgeA4ZUDY
105,@realDonaldTrump Lmao people actually like this goof?
106,"@realDonaldTrump So SAD! #SoSad I hear that even Haiti won’t take you, so good luck finding a hiding place Nov 4th! #BullyingPreventionMonth"
107,@realDonaldTrump @nypost https://t.co/LMcqutqI6A
108,@realDonaldTrump @Ms_Erika74 That's right! 2 can play the same game!
109,@realDonaldTrump Congratulations on all your farewell rallies.
110,@realDonaldTrump Hahaha. Did YOU say clueless? Hahaha
111,"@realDonaldTrump You probably have too, and also the rest of the states"
112,@realDonaldTrump You lied about COVID.
113,RT @robbystarbuck: @realDonaldTrump She sure did!   Kamala tore Sleepy Joe to shreds.  https://t.co/P5ASnfTOWR
114,RT @thebr0keb0i: @realDonaldTrump https://t.co/9zJwv80ept
115,@realDonaldTrump It’s never too late to do the right thing... https://t.co/KMI1hlSYVK
116,@realDonaldTrump dream on.  massive BLUE WAVE is coming!
117,@realDonaldTrump “what do you have to lose” instead of “let me help you”??? This man i swear
118,@realDonaldTrump https://t.co/2qepXZr8SC
119,"RT @Cleavon_MD: @realDonaldTrump Dr. Eddie Negron, 69yo Internal Medicine, Ft Walton, FL, died of #covid19 7/24. He immigrated from Puerto…"
120,@realDonaldTrump Mnuchin and Pelosi are still negotiating. No Republicans are in the talks. Senate has already said… https://t.co/4TMELOY5eP
121,@realDonaldTrump @GStephanopoulos Here I found your campaign song - America is dedicating it to you https://t.co/2YgeA4ZUDY
122,@realDonaldTrump @Nancy_Miracle Shtap
123,@realDonaldTrump 💪💪💪🇺🇲🇺🇲🇺🇲🇧🇷🇧🇷🇧🇷 #Trump2020
124,@realDonaldTrump One reason why Pinocchio won't confront Putin on his aggression against the U.S.  is because Putin… https://t.co/T0EnC3SeJV
125,"RT @Cleavon_MD: @realDonaldTrump Dr. Steven Silverman, 71yo OBGYN, West Palm Beach, FL, died of #covid19 9/10. He had a gift for nurturing…"
126,@realDonaldTrump Tell the turtle to pass Nancy's bill. Then you sign it. See... it's easy.
127,RT @atom_attic: @realDonaldTrump Nice crowd. Better make sure they vote before they are stuck in the ICU #SuperSpreaderTrump https://t.co/r…
128,@realDonaldTrump Biden town hall - 12.7 million viewers Trump town hall - 10.4 million viewers
129,"RT @Cleavon_MD: @realDonaldTrump Marjorie Blackman, 67 year old nurse at Seminole Pavilion in Seminole, Florida died of #covid19. She becam…"
130,@realDonaldTrump https://t.co/3gcSJ4FKF7
131,"@realDonaldTrump Senator BEN SASSE (R) Nebraska, describes Trump very nicely. Republicans aren’t happy, “RINO BEN S… https://t.co/EeuBOWdq6K"
132,@realDonaldTrump That’s false. You know who didn’t have to lie and cheat to win an election? https://t.co/rJjvKQzDPO
133,@realDonaldTrump Covid’s helper
134,"RT @Cleavon_MD: @realDonaldTrump ⚠️school bus driver Gail Brusseau, 66, died from COVID. She spent 26 years driving children to school in C…"
135,@realDonaldTrump https://t.co/lSHr8AGbVz
136,@realDonaldTrump https://t.co/20jDpOqVfS
137,@realDonaldTrump The clip speaks for itself.  @NBCNews sometimes you get it right. Watch  https://t.co/lJuI1wfgRj
138,@realDonaldTrump https://t.co/ZuajZ935PO
